x,y,rho,u,v,p
0.206775,0.0002258883249,1.29,0,0,101325
0.207225,0.0002258883249,1.29,0,0,101325
0.207675,0.0002258883249,1.29,0,0,101325
0.208125,0.0002258883249,1.29,0,0,101325
0.208575,0.0002258883249,1.29,0,0,101325
0.209025,0.0002258883249,1.29,0,0,101325
0.209475,0.0002258883249,1.29,0,0,101325
0.209925,0.0002258883249,1.29,0,0,101325
0.210375,0.0002258883249,1.29,0,0,101325
0.210825,0.0002258883249,1.29,0,0,101325
0.211275,0.0002258883249,1.29,0,0,101325
0.211725,0.0002258883249,1.29,0,0,101325
0.212175,0.0002258883249,1.29,0,0,101325
0.212625,0.0002258883249,1.29,0,0,101325
0.213075,0.0002258883249,1.29,0,0,101325
0.213525,0.0002258883249,1.29,0,0,101325
0.213975,0.0002258883249,1.29,0,0,101325
0.214425,0.0002258883249,1.29,0,0,101325
0.214875,0.0002258883249,1.29,0,0,101325
0.215325,0.0002258883249,1.29,0,0,101325
0.215775,0.0002258883249,1.29,0,0,101325
0.216225,0.0002258883249,1.29,0,0,101325
0.216675,0.0002258883249,1.29,0,0,101325
0.217125,0.0002258883249,1.29,0,0,101325
0.217575,0.0002258883249,1.29,0,0,101325
0.218025,0.0002258883249,1.29,0,0,101325
0.218475,0.0002258883249,1.29,0,0,101325
0.218925,0.0002258883249,1.29,0,0,101325
0.219375,0.0002258883249,1.29,0,0,101325
0.219825,0.0002258883249,1.29,0,0,101325
0.220275,0.0002258883249,1.29,0,0,101325
0.220725,0.0002258883249,1.29,0,0,101325
0.221175,0.0002258883249,1.29,0,0,101325
0.221625,0.0002258883249,1.29,0,0,101325
0.222075,0.0002258883249,1.29,0,0,101325
0.222525,0.0002258883249,1.29,0,0,101325
0.222975,0.0002258883249,1.29,0,0,101325
0.223425,0.0002258883249,1.29,0,0,101325
0.223875,0.0002258883249,1.29,0,0,101325
0.224325,0.0002258883249,1.29,0,0,101325
0.224775,0.0002258883249,1.29,0,0,101325
0.000225,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.000675,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.001125,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.001575,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.002025,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.002475,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.002925,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.003375,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.003825,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.004275,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.004725,0.0006776649746,1.775509525,110.6272324,0,159059.985
0.005175,0.0006776649746,1.29,0,0,101325
0.005625,0.0006776649746,1.29,0,0,101325
0.006075,0.0006776649746,1.29,0,0,101325
0.006525,0.0006776649746,1.29,0,0,101325
0.006975,0.0006776649746,1.29,0,0,101325
0.007425,0.0006776649746,1.29,0,0,101325
0.007875,0.0006776649746,1.29,0,0,101325
0.008325,0.0006776649746,1.29,0,0,101325
0.008775,0.0006776649746,1.29,0,0,101325
0.009225,0.0006776649746,1.29,0,0,101325
0.009675,0.0006776649746,1.29,0,0,101325
0.010125,0.0006776649746,1.29,0,0,101325
0.010575,0.0006776649746,1.29,0,0,101325
0.011025,0.0006776649746,1.29,0,0,101325
0.011475,0.0006776649746,1.29,0,0,101325
0.011925,0.0006776649746,1.29,0,0,101325
0.012375,0.0006776649746,1.29,0,0,101325
0.012825,0.0006776649746,1.29,0,0,101325
0.013275,0.0006776649746,1.29,0,0,101325
0.013725,0.0006776649746,1.29,0,0,101325
0.014175,0.0006776649746,1.29,0,0,101325
0.014625,0.0006776649746,1.29,0,0,101325
0.015075,0.0006776649746,1.29,0,0,101325
0.015525,0.0006776649746,1.29,0,0,101325
0.015975,0.0006776649746,1.29,0,0,101325
0.016425,0.0006776649746,1.29,0,0,101325
0.016875,0.0006776649746,1.29,0,0,101325
0.017325,0.0006776649746,1.29,0,0,101325
0.017775,0.0006776649746,1.29,0,0,101325
0.018225,0.0006776649746,1.29,0,0,101325
0.018675,0.0006776649746,1.29,0,0,101325
0.019125,0.0006776649746,1.29,0,0,101325
0.019575,0.0006776649746,1.29,0,0,101325
0.020025,0.0006776649746,1.29,0,0,101325
0.020475,0.0006776649746,1.29,0,0,101325
0.020925,0.0006776649746,1.29,0,0,101325
0.021375,0.0006776649746,1.29,0,0,101325
0.021825,0.0006776649746,1.29,0,0,101325
0.022275,0.0006776649746,1.29,0,0,101325
0.022725,0.0006776649746,1.29,0,0,101325
0.023175,0.0006776649746,1.29,0,0,101325
0.023625,0.0006776649746,1.29,0,0,101325
0.024075,0.0006776649746,1.29,0,0,101325
0.024525,0.0006776649746,1.29,0,0,101325
0.024975,0.0006776649746,1.29,0,0,101325
0.025425,0.0006776649746,1.29,0,0,101325
0.025875,0.0006776649746,1.29,0,0,101325
0.026325,0.0006776649746,1.29,0,0,101325
0.026775,0.0006776649746,1.29,0,0,101325
0.027225,0.0006776649746,1.29,0,0,101325
0.027675,0.0006776649746,1.29,0,0,101325
0.028125,0.0006776649746,1.29,0,0,101325
0.028575,0.0006776649746,1.29,0,0,101325
0.029025,0.0006776649746,1.29,0,0,101325
0.029475,0.0006776649746,1.29,0,0,101325
0.029925,0.0006776649746,1.29,0,0,101325
0.030375,0.0006776649746,1.29,0,0,101325
0.030825,0.0006776649746,1.29,0,0,101325
0.031275,0.0006776649746,1.29,0,0,101325
0.031725,0.0006776649746,1.29,0,0,101325
0.032175,0.0006776649746,1.29,0,0,101325
